DeviceDateTime,Longitude,Latitude,Speed,Di1,Di2,Di3
04:24.0,21.139115,42.673647,0,0,0,1
10:14.0,21.139115,42.673647,0,0,0,1
16:05.0,21.139115,42.673647,0,0,0,1
20:22.0,21.139115,42.673647,0,1,0,1
20:27.0,21.139115,42.673647,0,1,0,1
20:33.0,21.139115,42.673647,6,1,0,1
20:43.0,21.13878,42.673763,11,1,0,1
20:50.0,21.138702,42.673768,0,1,0,1
21:01.0,21.138735,42.673658,0,1,0,1
21:11.0,21.138735,42.673658,0,1,0,1
21:21.0,21.138735,42.673658,0,1,0,1
21:31.0,21.138735,42.673658,0,1,0,1
21:35.0,21.138735,42.673658,0,0,0,1
24:21.0,21.138735,42.673658,0,1,0,1
24:26.0,21.138855,42.67361,0,1,0,1
24:31.0,21.138847,42.673663,0,1,0,1
24:33.0,21.138847,42.673663,0,0,0,1
30:23.0,21.138847,42.673663,0,0,0,1
30:31.0,21.138847,42.673663,0,1,0,1
30:34.0,21.139057,42.67376,0,1,0,1
30:44.0,21.138903,42.67371,0,1,0,1
30:54.0,21.138732,42.673805,3,1,0,1
30:57.0,21.138708,42.67381,0,1,0,1
31:06.0,21.138702,42.673818,0,1,0,1
31:17.0,21.138702,42.673818,0,1,0,1
31:27.0,21.138702,42.673818,0,1,0,1
31:37.0,21.138702,42.673818,0,1,0,1
31:44.0,21.138702,42.673818,0,0,0,1
37:34.0,21.138702,42.673818,0,0,0,1
43:25.0,21.138702,42.673818,0,0,0,1
49:16.0,21.138702,42.673818,0,0,0,1
55:06.0,21.138702,42.673818,0,0,0,1
00:57.0,21.138702,42.673818,0,0,0,1
06:48.0,21.138702,42.673818,0,0,0,1
12:37.0,21.138702,42.673818,0,0,0,1
18:28.0,21.138702,42.673818,0,0,0,1
24:19.0,21.138702,42.673818,0,0,0,1
30:10.0,21.138702,42.673818,0,0,0,1
36:00.0,21.138702,42.673818,0,0,0,1
41:51.0,21.138702,42.673818,0,0,0,1
47:42.0,21.138702,42.673818,0,0,0,1
53:32.0,21.138702,42.673818,0,0,0,1
59:23.0,21.138702,42.673818,0,0,0,1
05:14.0,21.138702,42.673818,0,0,0,1
11:05.0,21.138702,42.673818,0,0,0,1
16:55.0,21.138702,42.673818,0,0,0,1
22:46.0,21.138702,42.673818,0,0,0,1
28:36.0,21.138702,42.673818,0,0,0,1
34:26.0,21.138702,42.673818,0,0,0,1
40:17.0,21.138702,42.673818,0,0,0,1
46:08.0,21.138702,42.673818,0,0,0,1
51:58.0,21.138702,42.673818,0,0,0,1
57:49.0,21.138702,42.673818,0,0,0,1
03:40.0,21.138702,42.673818,0,0,0,1
09:30.0,21.138702,42.673818,0,0,0,1
15:21.0,21.138702,42.673818,0,0,0,1
21:12.0,21.138702,42.673818,0,0,0,1
27:03.0,21.138702,42.673818,0,0,0,1
32:53.0,21.138702,42.673818,0,0,0,1
38:44.0,21.138702,42.673818,0,0,0,1
44:35.0,21.138702,42.673818,0,0,0,1
50:24.0,21.138702,42.673818,0,0,0,1
56:15.0,21.138702,42.673818,0,0,0,1
02:06.0,21.138702,42.673818,0,0,0,1
07:56.0,21.138702,42.673818,0,0,0,1
13:47.0,21.138702,42.673818,0,0,0,1
19:38.0,21.138702,42.673818,0,0,0,1
25:29.0,21.138702,42.673818,0,0,0,1
31:19.0,21.138702,42.673818,0,0,0,1
37:10.0,21.138702,42.673818,0,0,0,1
43:01.0,21.138702,42.673818,0,0,0,1
48:51.0,21.138702,42.673818,0,0,0,1
54:42.0,21.138702,42.673818,0,0,0,1
00:33.0,21.138702,42.673818,0,0,0,1
06:22.0,21.138702,42.673818,0,0,0,1
12:13.0,21.138702,42.673818,0,0,0,1
18:04.0,21.138702,42.673818,0,0,0,1
23:54.0,21.138702,42.673818,0,0,0,1
29:45.0,21.138702,42.673818,0,0,0,1
35:36.0,21.138702,42.673818,0,0,0,1
41:27.0,21.138702,42.673818,0,0,0,1
47:17.0,21.138702,42.673818,0,0,0,1
53:08.0,21.138702,42.673818,0,0,0,1
58:59.0,21.138702,42.673818,0,0,0,1
04:49.0,21.138702,42.673818,0,0,0,1
10:40.0,21.138702,42.673818,0,0,0,1
16:31.0,21.138702,42.673818,0,0,0,1
22:21.0,21.138702,42.673818,0,0,0,1
28:11.0,21.138702,42.673818,0,0,0,1
34:02.0,21.138702,42.673818,0,0,0,1
39:52.0,21.138702,42.673818,0,0,0,1
45:43.0,21.138702,42.673818,0,0,0,1
51:34.0,21.138702,42.673818,0,0,0,1
57:25.0,21.138702,42.673818,0,0,0,1
03:15.0,21.138702,42.673818,0,0,0,1
09:06.0,21.138702,42.673818,0,0,0,1
14:57.0,21.138702,42.673818,0,0,0,1
20:47.0,21.138702,42.673818,0,0,0,1
26:38.0,21.138702,42.673818,0,0,0,1
32:29.0,21.138702,42.673818,0,0,0,1
38:19.0,21.138702,42.673818,0,0,0,1
44:09.0,21.138702,42.673818,0,0,0,1
50:00.0,21.138702,42.673818,0,0,0,1
55:51.0,21.138702,42.673818,0,0,0,1
01:41.0,21.138702,42.673818,0,0,0,1
07:32.0,21.138702,42.673818,0,0,0,1
13:23.0,21.138702,42.673818,0,0,0,1
19:13.0,21.138702,42.673818,0,0,0,1
25:04.0,21.138702,42.673818,0,0,0,1
30:55.0,21.138702,42.673818,0,0,0,1
36:45.0,21.138702,42.673818,0,0,0,1
42:36.0,21.138702,42.673818,0,0,0,1
48:27.0,21.138702,42.673818,0,0,0,1
54:18.0,21.138702,42.673818,0,0,0,1
00:08.0,21.138702,42.673818,0,0,0,1
05:58.0,21.138702,42.673818,0,0,0,1
